cik,sic,company_name,industry
14846,6798.0,BRT APARTMENTS CORP.,REAL ESTATE INVESTMENT TRUSTS
14930,3510.0,BRUNSWICK CORP,ENGINES & TURBINES
15357,2060.0,CHASE GENERAL CORP,SUGAR & CONFECTIONERY PRODUCTS
15393,2711.0,BUREAU OF NATIONAL AFFAIRS INC,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
15511,4011.0,BNSF RAILWAY CO,"RAILROADS, LINE-HAUL OPERATING"
15615,1623.0,MASTEC INC,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
15847,7990.0,BUTLER NATIONAL CORP,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
16040,2890.0,CABOT CORP,MISCELLANEOUS CHEMICAL PRODUCTS
16058,7373.0,CACI INTERNATIONAL INC /DE/,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
16099,5812.0,LUB LIQUIDATING TRUST,RETAIL-EATING PLACES
16104,2015.0,CAGLES INC,POULTRY SLAUGHTERING AND PROCESSING
16160,200.0,CAL-MAINE FOODS INC,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
16614,6036.0,CAMCO FINANCIAL CORP,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
16732,2000.0,CAMPBELL'S CO,FOOD AND KINDRED PRODUCTS
16859,6795.0,MFC BANCORP LTD.,MINERAL ROYALTY TRADERS
16868,4011.0,CANADIAN NATIONAL RAILWAY CO,"RAILROADS, LINE-HAUL OPERATING"
16875,4011.0,CANADIAN PACIFIC RAILWAY LTD/CN,"RAILROADS, LINE-HAUL OPERATING"
16918,2080.0,"CONSTELLATION BRANDS, INC.",BEVERAGES
16988,3861.0,CANON INC,PHOTOGRAPHIC EQUIPMENT & SUPPLIES
17485,5912.0,"LIBERATOR MEDICAL HOLDINGS, INC.",RETAIL-DRUG STORES AND PROPRIETARY STORES
17843,3312.0,CARPENTER TECHNOLOGY CORP,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
18061,3537.0,CASCADE CORP,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS"
18169,100.0,DOLE FOOD CO INC,AGRICULTURAL PRODUCTION-CROPS
18172,5051.0,A. M. CASTLE & CO.,WHOLESALE-METALS SERVICE CENTERS & OFFICES
18230,3531.0,CATERPILLAR INC,CONSTRUCTION MACHINERY & EQUIP
18255,5621.0,CATO CORP,RETAIL-WOMEN'S CLOTHING STORES
18349,6021.0,SYNOVUS FINANCIAL CORP,NATIONAL COMMERCIAL BANKS
18396,7363.0,CDI CORP,SERVICES-HELP SUPPLY SERVICES
18498,5661.0,GENESCO INC,RETAIL-SHOE STORES
18808,4911.0,CENTRAL VERMONT PUBLIC SERVICE CORP,ELECTRIC SERVICES
18886,1400.0,WOLVERINE HOLDING CORP.,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
18926,4813.0,"LUMEN TECHNOLOGIES, INC.",TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
18937,3990.0,CERADYNE INC,MISCELLANEOUS MANUFACTURING INDUSTRIES
19002,2836.0,"CYBRDI, INC.","BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
19149,2750.0,CHAMPION INDUSTRIES INC,COMMERCIAL PRINTING
19353,5621.0,CHARMING SHOPPES INC,RETAIL-WOMEN'S CLOTHING STORES
19411,8060.0,MAGELLAN HEALTH INC,SERVICES-HOSPITALS
19446,3841.0,CANTEL MEDICAL CORP,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
19584,8082.0,CHEMED CORP,SERVICES-HOME HEALTH CARE SERVICES
19612,6021.0,TCF FINANCIAL CORP,NATIONAL COMMERCIAL BANKS
19617,6021.0,JPMORGAN CHASE & CO,NATIONAL COMMERCIAL BANKS
19745,4923.0,CHESAPEAKE UTILITIES CORP,NATURAL GAS TRANSMISISON & DISTRIBUTION
19871,3540.0,CHICAGO RIVET & MACHINE CO,METALWORKG MACHINERY & EQUIPMENT
20171,6331.0,CHUBB CORP,"FIRE, MARINE & CASUALTY INSURANCE"
20212,7948.0,CHURCHILL DOWNS INC,"SERVICES-RACING, INCLUDING TRACK OPERATION"
20232,7330.0,CHYRON CORP,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"
20286,6331.0,CINCINNATI FINANCIAL CORP,"FIRE, MARINE & CASUALTY INSURANCE"
20520,4813.0,"FRONTIER COMMUNICATIONS PARENT, INC.",TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
20629,2771.0,CSS INDUSTRIES INC,GREETING CARDS
20639,6512.0,AMBASE CORP,OPERATORS OF NONRESIDENTIAL BUILDINGS
20740,3714.0,CLARCOR INC.,MOTOR VEHICLE PARTS & ACCESSORIES
21076,2842.0,CLOROX CO /DE/,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
21175,6331.0,CNA FINANCIAL CORP,"FIRE, MARINE & CASUALTY INSURANCE"
21239,1311.0,COASTAL CARIBBEAN OILS & MINERALS LTD,CRUDE PETROLEUM & NATURAL GAS
21344,2080.0,COCA COLA CO,BEVERAGES
21510,3826.0,COHERENT INC,LABORATORY ANALYTICAL INSTRUMENTS
21535,3825.0,COHU INC,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
21665,2844.0,COLGATE PALMOLIVE CO,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
21828,5070.0,COLONIAL COMMERCIAL CORP,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES
22252,3663.0,COMARCO INC,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
22356,6022.0,COMMERCE BANCSHARES INC /MO/,STATE COMMERCIAL BANKS
22444,3312.0,COMMERCIAL METALS CO,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
22551,1311.0,TRI VALLEY CORP,CRUDE PETROLEUM & NATURAL GAS
22701,3661.0,"SUNATION ENERGY, INC.",TELEPHONE & TELEGRAPH APPARATUS
22872,6324.0,"ADVANZEON SOLUTIONS, INC.",HOSPITAL & MEDICAL SERVICE PLANS
23082,7373.0,COMPUTER SCIENCES CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
23111,7371.0,COMPUTER TASK GROUP INC,SERVICES-COMPUTER PROGRAMMING SERVICES
23194,1311.0,COMSTOCK RESOURCES INC,CRUDE PETROLEUM & NATURAL GAS
23197,3663.0,COMTECH TELECOMMUNICATIONS CORP /DE/,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
23217,2000.0,CONAGRA BRANDS INC.,FOOD AND KINDRED PRODUCTS
23503,3679.0,CONOLOG CORP,"ELECTRONIC COMPONENTS, NEC"
23666,2000.0,HILLSHIRE BRANDS CO,FOOD AND KINDRED PRODUCTS
23675,4213.0,CON-WAY INC.,TRUCKING (NO LOCAL)
23795,6798.0,CTO REALTY GROWTH INC.,REAL ESTATE INVESTMENT TRUSTS
24090,6311.0,"CITIZENS, INC.",LIFE INSURANCE
24104,3270.0,CONTINENTAL MATERIALS CORP,"CONCRETE, GYPSUM & PLASTER PRODUCTS"
24491,3011.0,COOPER TIRE & RUBBER CO,TIRES & INNER TUBES
24545,2082.0,MOLSON COORS BEVERAGE CO,MALT BEVERAGES
24741,3357.0,CORNING INC /NY,DRAWING & INSULATING OF NONFERROUS WIRE
24751,4923.0,CORNING NATURAL GAS CORP,NATURAL GAS TRANSMISISON & DISTRIBUTION
25212,2732.0,COURIER CORP,BOOK PRINTING
25232,6798.0,COUSINS PROPERTIES INC,REAL ESTATE INVESTMENT TRUSTS
25354,7200.0,CPI CORP,SERVICES-PERSONAL SERVICES
25445,3490.0,"CRANE HOLDINGS, CO.",MISCELLANEOUS FABRICATED METAL PRODUCTS
25475,6411.0,CRAWFORD & CO,"INSURANCE AGENTS, BROKERS & SERVICE"
25598,6141.0,SPRINGLEAF FINANCE CORP,PERSONAL CREDIT INSTITUTIONS
25600,6141.0,SPRINGLEAF FINANCE INC,PERSONAL CREDIT INSTITUTIONS
25743,2834.0,"AMHN, INC.",PHARMACEUTICAL PREPARATIONS
25793,3950.0,COSTA INC,"PENS, PENCILS & OTHER ARTISTS' MATERIALS"
25895,2211.0,CROWN CRAFTS INC,"BROADWOVEN FABRIC MILLS, COTTON"
26058,3672.0,CTS CORP,PRINTED CIRCUIT BOARDS
26076,3829.0,CUBIC CORP /DE/,"MEASURING & CONTROLLING DEVICES, NEC"
26172,3510.0,CUMMINS INC,ENGINES & TURBINES
26324,3590.0,CURTISS WRIGHT CORP,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
26780,3714.0,DANA INC,MOTOR VEHICLE PARTS & ACCESSORIES
27093,1000.0,U.S. GOLD CORP.,METAL MINING
27367,3841.0,DAXOR CORP,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
27419,5331.0,TARGET CORP,RETAIL-VARIETY STORES
27430,4931.0,DAYTON POWER & LIGHT CO,ELECTRIC & OTHER SERVICES COMBINED
27673,6153.0,DEERE JOHN CAPITAL CORP,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
27748,3679.0,DGT HOLDINGS CORP.,"ELECTRONIC COMPONENTS, NEC"
27904,4512.0,DELTA AIR LINES INC /DE/,"AIR TRANSPORTATION, SCHEDULED"
27996,2780.0,DELUXE CORP,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK"
28367,3670.0,COGO GROUP INC.,ELECTRONIC COMPONENTS & ACCESSORIES
28385,4911.0,DETROIT EDISON CO,ELECTRIC SERVICES
28412,6021.0,COMERICA INC /NEW/,NATIONAL COMMERCIAL BANKS
28561,3480.0,DEWEY ELECTRONICS CORP,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
28823,3578.0,"DIEBOLD NIXDORF, INC",CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS)
28917,5311.0,"DILLARD'S, INC.",RETAIL-DEPARTMENT STORES
29002,3674.0,DIODES INC /DEL/,SEMICONDUCTORS & RELATED DEVICES
29006,700.0,DIONICS INC,AGRICULTURAL SERVICES
29332,2273.0,DIXIE GROUP INC,CARPETS & RUGS
29504,6153.0,OMEGA COMMERCIAL FINANCE CORP,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
29534,5331.0,DOLLAR GENERAL CORP,RETAIL-VARIETY STORES
29644,3564.0,DONALDSON CO INC,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
29669,2750.0,RR DONNELLEY & SONS CO,COMMERCIAL PRINTING
29834,1311.0,ESCALERA RESOURCES CO.,CRUDE PETROLEUM & NATURAL GAS
29905,3530.0,DOVER CORP,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP"
29915,2821.0,DOW CHEMICAL CO /DE/,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
29952,3621.0,"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.",MOTORS & GENERATORS
29989,7311.0,OMNICOM GROUP INC.,SERVICES-ADVERTISING AGENCIES
30302,5331.0,DUCKWALL ALCO STORES INC,RETAIL-VARIETY STORES
30305,3728.0,DUCOMMUN INC /DE/,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
30419,7310.0,DEX ONE CORP,SERVICES-ADVERTISING
30554,2820.0,DUPONT E I DE NEMOURS & CO,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
30625,3561.0,FLOWSERVE CORP,PUMPS & PUMPING EQUIPMENT
30697,5810.0,WENDY'S CO,RETAIL-EATING & DRINKING PLACES
30822,7373.0,DYNAMICS RESEARCH CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
30828,3663.0,COBRA ELECTRONICS CORP,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
30831,3220.0,DYNASIL CORP OF AMERICA,"GLASS & GLASSWARE, PRESSED OR BLOWN"
31107,3420.0,EASTERN CO,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
31235,3861.0,EASTMAN KODAK CO,PHOTOGRAPHIC EQUIPMENT & SUPPLIES
31277,3590.0,EATON CORP,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
31347,3576.0,ECHELON CORP,COMPUTER COMMUNICATIONS EQUIPMENT
31462,2840.0,ECOLAB INC.,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
31667,5190.0,EDUCATIONAL DEVELOPMENT CORP,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS
31704,6799.0,TWENTY SERVICES INC,"INVESTORS, NEC"
31791,3826.0,"REVVITY, INC.",LABORATORY ANALYTICAL INSTRUMENTS
31978,4911.0,EL PASO ELECTRIC CO /TX/,ELECTRIC SERVICES
31986,4922.0,EL PASO NATURAL GAS CO,NATURAL GAS TRANSMISSION
32166,7359.0,ELECTRO RENT CORP,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
32198,3663.0,EMS TECHNOLOGIES INC,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
32567,3440.0,EMERGE HEALTH INTERNATIONAL INC,FABRICATED STRUCTURAL METAL PRODUCTS
32604,3600.0,EMERSON ELECTRIC CO,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
32621,3651.0,EMERSON RADIO CORP,HOUSEHOLD AUDIO & VIDEO EQUIPMENT
32689,4911.0,EMPIRE DISTRICT ELECTRIC CO,ELECTRIC SERVICES
32776,6512.0,EMPIRE STATE BUILDING ASSOCIATES L.L.C.,OPERATORS OF NONRESIDENTIAL BUILDINGS
32878,3674.0,ENERGY CONVERSION DEVICES INC,SEMICONDUCTORS & RELATED DEVICES
33002,2761.0,"ENNIS, INC.",MANIFOLD BUSINESS FORMS
33113,3690.0,ENVIRONMENTAL TECTONICS CORP,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"
33185,7320.0,EQUIFAX INC,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
33213,1311.0,EQT CORP,CRUDE PETROLEUM & NATURAL GAS
33488,3949.0,ESCALADE INC,"SPORTING & ATHLETIC GOODS, NEC"
33533,3679.0,ESPEY MFG & ELECTRONICS CORP,"ELECTRONIC COMPONENTS, NEC"
33619,3823.0,ESTERLINE TECHNOLOGIES CORP,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
33769,5812.0,BOB EVANS FARMS INC,RETAIL-EATING PLACES
33992,6331.0,"KINGSTONE COMPANIES, INC.","FIRE, MARINE & CASUALTY INSURANCE"
34067,3390.0,DMC GLOBAL INC.,MISCELLANEOUS PRIMARY METAL PRODUCTS
34088,2911.0,EXXON MOBIL CORP,PETROLEUM REFINING
34115,5600.0,CLAIRES STORES INC,RETAIL-APPAREL & ACCESSORY STORES
34285,7363.0,RELIABILITY INC,SERVICES-HELP SUPPLY SERVICES
34408,5331.0,FAMILY DOLLAR STORES INC,RETAIL-VARIETY STORES
34563,2090.0,FARMER BROTHERS CO,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
34782,6022.0,1ST SOURCE CORP,STATE COMMERCIAL BANKS
34903,6798.0,FEDERAL REALTY INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS
34956,2834.0,"TENAX THERAPEUTICS, INC.",PHARMACEUTICAL PREPARATIONS
35214,2851.0,FERRO CORP,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
35527,6022.0,FIFTH THIRD BANCORP,STATE COMMERCIAL BANKS
36029,6022.0,FIRST FINANCIAL BANKSHARES INC,STATE COMMERCIAL BANKS
36047,7374.0,"CORELOGIC, INC.",SERVICES-COMPUTER PROCESSING & DATA PREPARATION
36104,6021.0,US BANCORP DE,NATIONAL COMMERCIAL BANKS
36146,6021.0,TRUSTMARK CORP,NATIONAL COMMERCIAL BANKS
36270,6022.0,M&T BANK CORP,STATE COMMERCIAL BANKS
36369,6500.0,FIRST HARTFORD CORP,REAL ESTATE
36377,6022.0,"FIRST HAWAIIAN, INC.",STATE COMMERCIAL BANKS
36506,6022.0,MACKINAC FINANCIAL CORP /MI/,STATE COMMERCIAL BANKS
36840,6798.0,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",REAL ESTATE INVESTMENT TRUSTS
36966,6021.0,FIRST HORIZON CORP,NATIONAL COMMERCIAL BANKS
37008,6798.0,WINTHROP REALTY LIQUIDATING TRUST,REAL ESTATE INVESTMENT TRUSTS
37049,6022.0,FIRST WEST VIRGINIA BANCORP INC,STATE COMMERCIAL BANKS
37472,2510.0,FLEXSTEEL INDUSTRIES INC,HOUSEHOLD FURNITURE
37634,4911.0,FLORIDA POWER & LIGHT CO,ELECTRIC SERVICES
